Book-Title,Book-Author
Classical Mythology,Mark P. O. Morford
Clara Callan,Richard Bruce Wright
Decision in Normandy,Carlo D'Este
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata
The Mummies of Urumchi,E. J. W. Barber
The Kitchen God's Wife,Amy Tan
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley
PLEADING GUILTY,Scott Turow
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly
Where You'll Find Me: And Other Stories,Ann Beattie
Nights Below Station Street,David Adams Richards
Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor
The Middle Stories,Sheila Heti
Jane Doe,R. J. Kaiser
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield
The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman
More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson
Goodbye to the Buttermilk Sky,Julia Oliver
The Testament,John Grisham
Beloved (Plume Contemporary Fiction),Toni Morrison
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown
If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish
Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen
Tell Me This Isn't Happening,Robynn Clairday
Flood : Mississippi 1927,Kathleen Duey
Wild Animus,Rich Shapero
Airframe,Michael Crichton
Timeline,MICHAEL CRICHTON
OUT OF THE SILENT PLANET,C.S. Lewis
Prague : A Novel,ARTHUR PHILLIPS
Chocolate Jesus,Stephan Jaramillo
Wie Barney es sieht.,Mordecai Richler
Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney
Sturmzeit. Roman.,Charlotte Link
Tage der Unschuld.,Richard North Patterson
Lying Awake,Mark Salzman
To Kill a Mockingbird,Harper Lee
Seabiscuit: An American Legend,LAURA HILLENBRAND
Pigs in Heaven,Barbara Kingsolver
Miss Zukas and the Raven's Dance,Jo Dereske
Pride and Prejudice,Jane Austen
The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger
Downtown,Anne Rivers Siddons
Icebound,Dean R. Koontz
I'll Be Seeing You,Mary Higgins Clark
From the Corner of His Eye,Dean Koontz
Isle of Dogs,Patricia Cornwell
Purity in Death,J.D. Robb
This Year It Will Be Different: And Other Stories,Maeve Binchy
Proxies,Laura J. Mixon
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye
The Street Lawyer,JOHN GRISHAM
"Love, Medicine and Miracles",M.D. Bernie S. Siegel
All the King's Men,Robert Penn Warren
Pacific Northwest,Hans Johannes Hoefer
A Soldier of the Great War,Mark Helprin
Getting Well Again,O. Carol Simonton Md
Northwest Wines and Wineries,Chuck Hill
An Atmosphere of Eternity: Stories of India,David Iglehart
LONESOME DOVE,Larry McMurtry
Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES
Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES
Lieux dits,Michel Tournier
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan
The yawning heights,Aleksandr Zinoviev
Breathing Lessons,Anne Tyler
The Joy Luck Club,Amy Tan
Heart of Darkness (Wordsworth Collection),Joseph Conrad
The Angel Is Near,Deepak Chopra
Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy
